CODE,NAME,AMOUNT,DATE,REPNAME,MARK,BALANCE
GH12342,SEIMAT TYRE (KUMASI),,,KOFI,,35450
GH123543,GEORGE BOATENG(E/RKUKURANTMI),3392,2025/12/20,LINDA,"PIC UP CASH,LINDA",454
GH16542,JACK MOTORS(ABOSSERY OKAI),22542,2025/7/17,AMOAH HILDA,"TO SHOP 20K CASH,STEPHANIE,2K CREDIT",1542
GH18542,UNITY AUTO (ADJIRINANOR),8770,2024/5/20,AKORFA,CASH PICK UP,11995
GH18786,YAW ANNAN ENT(TARKWA),14500,2026/2/5,KUMBALA,STATION 30000+15000 KUMBALA,147032.42
GH21313,TAMINI(KASOA),29315,2024/1/11,PRINCE,CASH TO SHOP,8425.3
GH21345,KEKELI BATTERIES(HOHOE),2200,2023/7/4,BENEDICTA,anthony bank's account,25040
GH23249,KING PRINCE ENT(ABBOSEY OKAI),3745,2025/8/18,AMOAH HILDA,"TO SHOP CASH,BENY",5
GH52140,GERABETT AUTO PARTS(ABOSSEY OKAI),6770,2025/9/2,BENY,PICK UP CASH BENY,6770
GH52311,TONY MOTORS(CAPE COAST),825,2026/2/3,KUMBALA,"KUMBALA,PICK UP PAY CASH",4903.5
GH53211,BOMBARIOUS ENT(KUMASI),7160,2026/1/27,KOFI,"KOFI,SEND TO STAION ON CREDIT",28610
GH76523,LIFE IN STAGES(ABOSSEY OKAI),1290,2025/7/14,LINDA,"TO SHOP CASH,LINDA",1140
GH92131,PRINCE SHOCKS(ABSOEEY OKAI),800,2026/1/22,AMOAH HILDA,PICK UP HILDA 质量问题 换货,41505
GH98517,SISTER ENTERPRISE(TEMA),36612.7,2025/12/19,BENEDICTA,"BENEDICTA,PICK UP ON CREDIT",861792.59
GH98522,ROBERT HAGAN(FOSU),69207.5,2025/11/29,KUMBALA,"KUMBALA,PICK UP WEEKLY CASH",84446.6
GH98526,BEDDISH BATTERY,32980,2025/2/4,PRINCE B,SHOP RETURN,214400
GH98531,BERNARD AKIAH HEAVY DUTY(KUMASI),3925,2026/2/12,ENOCH,TO STATION MOMO,102982
GH98540,ATO AUTOMOBILE(TARKWA),3000,2023/7/31,KUMBALA,mmo and station today,2703
GH98542,OSEI SAMPONG RIGHT HOUSE1(ABOSSEY OKAI),15495,2026/2/12,BENEDICTA,SHOP WEEKLY BENEDICTA,89525
GH98551,JAO 4 ENTERPRISE(TARKWA),4300,2023/9/29,KUMBALA,"PICKUP,GOT THE CASH",1340.8
GH98553,LOGAMA GROUPS OF COMPANIES(ABOSSEY OKAI),3840,2025/1/27,AMOAH HILDA,"CASH, PICK UP",43915
GH98554,A.PAA WLILLIE ENT(ABOSSEY OKAI),6220,2025/8/12,AMOAH HILDA,换货,0.44
GH98555,EBENEZER TETTEH(KOFORIDUA),38300,2026/1/21,PRINCE B,"LATIFA,PICK UP EVERY TWO WEEKS 12000",26300
GH98556,FRANCIS(KUMASI),6000,2026/2/9,KOFI,STATION WEEKLY 李,17020
GH98558,A.B.K RADIATORS(ABOSEY OKAI),1800,2025/2/7,PRINCE,PICK UP CASH BENY,5985.5
GH98560,KOFI SARFO(ABOSSEY OKAI),3920,2025/11/25,PRINCE,PICK UP CASH STEPH,7
GH98561,KAYZ B VENTRUES(ABOSSEY OKAI),30600,2026/1/26,PRINCE,"TO HOUSE PAY WITHIN A MONTH,ABI",30527.68
GH98562,K.MINTH ENT(ABESSEY OKAI),5920,2025/5/14,朱立刚,"PICK UP CASH,BENY",5920
GH98572,DENCEL ENT(ABOSSEY OKAI),750,2024/10/23,LINDA,PICK UP CASH,752
GH98578,FREE BOY AUTO PARTS(ABOSSEY OKAI),2000,2025/12/23,AKORFA,SEND TO SHOP MOMO STEPHNIE,51176.5
GH98584,KENZEL AUTO PARTS(ABOSSEY OKAI),1528,2025/8/5,朱立刚,PICK UP CASH,23643.14
GH98588,DORIKU BATTERY(ABOSSEY OKAI),31380,2023/11/1,AMOAH HILDA,PAY CASH 1000 AND THE REST FOR NEXT WEEK  TODAYA ND SEND TO SHOP,11190
GH98589,DANBOD TRADING ENT(AWUDOME),60200,2024/9/2,PRINCE B,SHOP CHEQUE,19904.8
GH98594,SOF PARTS(SWEDRU),12770,2026/2/17,ESTHER YEBOAH,PICK UP CREDIT LATIFA,103405
GH98598,AZAAM TRADING  AND ENGINEERING SERVICES(TEMALE),31605,2022/12/5,KUMBALA,,8905
GH98606,BUSH ENT(ABSOSSEY OKAI),6920,2025/8/5,AMOAH HILDA,SEND TO SHOP CASH,220
GH98607,BRIGHT STAR MOTORS(ABOSSEY OKAI),2200,2025/1/28,AMOAH HILDA,SEND TO SHOP CASH BENY,35142
GH98609,BAMFO MOTORS(ABOSSEY OKAI),1400,2026/2/13,AMOAH HILDA,"TO SHOP CASH,SHANG",439232.02
GH98611,PEETEE MOTORS(KUMASI),16972,2024/8/8,KOFI,CASH STATION,11304
GH98612,ERNEST MOTORS(ABOSSEY OKAI),8648,2024/5/9,BENY,CHEQUE PICK UP,0.2
GH98618,OKUMOFLO LTD(KUMASI),205704,2025/5/14,KOFI,客户4月下单时，并未查看价格，五月份客户反馈价格过高，经与客户沟通，将价格下调10%，现将单子退回，修改价格，不用出货,667435.95
GH98620,JADEN GOODS SERVICES(TEMA),52294,2026/2/17,BENEDICTA,"BENEDICTA,SEND TO SHOP ON CREDIT PAID 40000",104524
GH98623,HARUMA ADAMS(TARKWA),24110,2026/2/17,KUMBALA,STATION CREDIT KUMBALA,52131.7
GH98624,REPLACEMENT KOBBY(ABOSSEY OKAI),30000,2024/11/18,商宇琛,TO SHOP CASH,1095712
GH98634,ALEX JEN,32840,2026/1/19,PRINCE B,SHOP CREDIT PRINCE B,24310
GH98635,NIISCO AUTO,3600,2026/2/17,PRINCE,"PICK UP MOMO,SABINA",597
GH98636,PM GOD IS GREAT AUTOPART,1590,2024/11/8,BENEDICTA,MOMO PICK UP,2945
GH98641,BERMUDA MOTORS(DOME),35110.72,2026/2/13,AKORFA,"AKORFA,SEND TO STATION ON CREDIT",43864.08
GH98642,K.B MOTORS(ABOSSEY OKAI),8166,2025/3/13,PRINCE,PICK UP CASH,2718
GH98646,K-WYSE ENTERPRISE(HO),35970,2026/2/2,BENEDICTA,"BENEDICTA,PICK UP ON CREDIT",2532
GH98650,RIT K ENT(ABOSSEY OKAI),2700,2026/2/9,AMOAH HILDA,SHOP CASH HILDA,600
GH98654,FAITHFUL ARE YOU LORD ENT(TEMA),10670,2025/12/15,BENEDICTA,"BENEDICTA,PICK UP PAID CASH",71780
GH98655,RIVER HORDAN MOTORS(MADINA),18500,2026/2/17,AKORFA,"AKORFA,PICK UP ON CREDIT",16520
GH98656,ADM MOTORS (ABOSSEY OKAI),6000,2026/2/17,PRINCE,PICK UP CASH PRINCE,6000
GH98660,BEST AUTO SOLUTION (ABOSSEY OKAI),1300,2026/2/5,PRINCE,PICK UP MOMO HANNAN,2060
GH98663,RYAN LIBERTY,9075,2023/6/27,PRINCE,5k today rest next week,7595
GH98665,THY GRACE ENT-ACHIMOTA APENKWA,2138,2025/9/8,PRINCE B,SHOP,4472.2
GH98666,DELPHINA AUTO PARTS (ABOSSEY OKAI),21072.44,2023/8/30,PRINCE,cash today beny,5394.82
GH98667,NANA  NAAK VENTURES(ABOSSEY OKAI),28222,2026/1/16,PRINCE,TO SHOP PAY BEOFRE ENDING OF THE MONTH,150732
GH98668,DON MOTORS(ABOSSEY OKAI),4650,2025/2/24,BENY,SEND TO SHOP CHEQUE 补单,56257.34
GH98672,DOXA-PRICE ENTERPRISE,9079,2025/10/3,KUMBALA,"PICK UP CREDIT,LATIFA",17184
GH98676,SERVX AUTO(MADINA),10550,2026/2/9,AKORFA,SHOP CHEQUES AKORFA,10550
GH98677,BERIMA SNR AUTO PART(ABOSSEY OKAI),514,2023/10/21,BENY,"PICKUP,CASH",14
GH98680,SILVER HOUSER EXPRESS(AWUDOME),11900,2025/11/4,PRINCE B,"OBENG,PICK UP PAID MOMO",12110
GH98681,KOBBY BATTERIES(KONONGO),480,2023/11/29,KOFI,MOMO PICK UP,2590
GH98684,PSALMMI BEE ENT.(ODORKOR),84400,2025/12/29,KUMBALA,TO SHOP CREDIT,69735
GH98687,KWAME ASANTE(ABOSSEY OKAI),7000,2025/2/25,PRINCE,PICK UP CASH,2800
GH98691,FNG AUTO PARTS(ODONAR),1770,2024/2/6,KUMBALA,"PICKUP,MOMO",6066
GH98696,CASO ESPECIAL (特殊）,8048,2025/1/16,AMOAH HILDA,"CASH, PICK UP",6426
GH98700,YAW APP MOTORS(ABOSSEY OKAI),1230,2024/12/19,BENY,PICK UP MOMO,2828
GH98706,EMMANUEL MOTTORS(TABORA),2150,2025/11/28,AKORFA,"SYLVIA,PICK UP PAID CASH",990
GH98708,KESEWAA AUTO(TIAFA JUNCTION),1380,2024/9/17,PRINCE B,TO SHOP CREDIT OBENG,3085
GH98711,KINGS AUTO PART(ABOSSEY OKAI),16493,2024/7/18,PRINCE,TO SHOP PAY WITH IN ONE MONTH,9977
GH98716,ERICO ALIGNMENT SUSPENSION(OYARIFA TEIM),2800,2024/1/5,BENEDICTA,MOMO PICK UP,3168
GH98718,A.J.ENT(KASOA STATION),2500,2025/3/7,AKORFA,PICK UP REPLACE,16352
GH98721,RIGHTEOUS ONE MOTORS(ABBOSEY OKAI),10784,2025/8/8,AMOAH HILDA,"PICK UP PAY IN TWO WEEKS,BENY",5784
GH98723,O.C CALIVIC(TEMA),24000,2026/2/2,BENEDICTA,"BENEDICTA,SEND TO SHOP ON CREDIT",70680
GH98727,DACOSPONG CO LTD.（ABOSSEY OKAI）,908,2026/2/5,PRINCE B,"LATIFA,PICK UP ON CREDIT",70802.5
GH98739,EVANS VUKEY ENT(ABOSSEY OKAI),720,2024/12/30,LINDA,PICK UP CASH,711
GH98740,BRIGHT YIADOM (ACHIMOTA),5784,2026/1/31,PRINCE B,"STEPHAINE,PICK UP PAY MOMO",47683.03
GH98745,RHEMA BATTERIES (LAPAZ ACCRA),50100,2024/9/2,AKORFA,TO SHOP CREDIT SYLVIA,48467
GH98746,Tawala Auto parts(ABOSSEY OKAI),37312,2024/3/26,AMOAH HILDA,PICK UP CASH AND CHEQUE,16272
GH98748,ADAMU ENT(ABOSSEY OKAI),7628,2025/3/14,PRINCE,"TO SHOP CASH,BENY",1535
GH98752,DANFOS AUTO(SUNYANI),730,2025/11/27,KUMBALA,PICK UP MOMO LATIFA,18
GH98754,A-OSEI TUTU MOTERS(SUNYANI MAGAZINE),20290,2025/10/8,KUMBALA,STATION CREDIT STHPANIE,31417
GH98769,GREATNESS AUTO PARTS (MADINA),3640,2026/2/13,AKORFA,PICK UP CASH ESTHER Y,224
GH98771,FATHULAHI ENTERPRISE (AWUDOME),1025,2026/2/11,AKORFA,PICK UP WEEKLY AKORFA,4977
GH98772,AKELE(ABOSSEY OKAI),35800,2025/6/17,AMOAH HILDA,2 CHEQUES IN 2 WEEKS TO SHOP BENY,10800
GH98776,LAKAZOR (CIRCLE),2700,2026/2/12,AKORFA,PICK UP MOMO LATIFA,2190
GH98779,P-KAY MOTORS(ABOSSEY OKAI),12402,2024/8/20,AMOAH HILDA,CREDIT PICK UP BENY,6414
GH98781,ALIBABA AUTO PARTS(KOKOMPE),1100,2026/1/27,AKORFA,"STEPHAINE,PICK UP PAY MOMO",68086
GH98785,JAYLEN MOTORS(ABOSSEY OKAI),1870,2024/7/19,BENY,PICKUP MOMO BENY,27694
GH98787,MAMA THERESA VENTURES(ABOSSEY OAKI),1440,2025/11/20,PRINCE,PICK UP MOMO STEP,4000
GH98789,J&M MOTORS(KUMASI),5432,2026/1/15,KOFI,SEND TO STATION ON CREDIT,101406.4
GH98790,LONG LIVE(KUMASI),5974.8,2024/9/10,KOFI,STATION CASH,3252.8
GH98791,K.AUTO ENGINEERING ENT(ABOSSEY OKAI),2400,2026/2/17,商宇琛,PICK UP CREDIT,197399
GH98793,FOB GEORGE NYARKO (ACHIMOTA),9000,2024/6/28,徐亮,CASH FOB SEND TO SHOP,26560
GH98796,FOB AB ACHEMPIO MOTOS (ABOSSEY OKAI),283.68,2024/10/28,朱立刚,TO SHOP CREDIT,110742.18
GH98797,ROYAL HARRY (KUMASI),1200,2025/5/28,KOFI,SEND TO STATION MOMO,34136
GH98799,ADWIN HEAVY TRUCK (KUMASI),101760,2024/6/14,ENOCH,"BANK 45,000 SEND TO STATION",56760
GH98801,DADDY BATTERY (KOTOBABI),35140,2025/11/11,PRINCE B,SEND TO SHOP CASH WEEKLY OBENG,5138
GH98802,AKOSUA PEYEPEKYE (TEMA),3730,2026/2/11,BENEDICTA,PICK UP CASH CUTE BENY,400
GH98804,JONLAW ENTERPRISE (KOTOBABI),24050,2025/11/14,PRINCE B,SEND TO SHOP CASH WEEKLY OBENG,18861
GH98814,MAMA PEACE ENT(ABOSSEY OKAI),51180,2026/1/15,PRINCE,"TO SHOP CREDIT,PRINCE",77560
GH98817,JAAH ALONE AUTO PARTS(AMASAMAN),2400,2026/2/12,AKORFA,PICK UP CREDIT AKORFA,55202.65
GH98821,AMOAH MOTORS(ABOSSEY OKAI),10620,2026/1/16,AMOAH HILDA,PICK UP CASH 11000 + NEXT FRIDAY PAY ALL BENY,9673.5
GH98827,OMNICUP VENTURE(ABOSSEY OKAI),1415,2026/2/13,PRINCE,"PICK UP CASH,PRINCE",9182
GH98832,DEFENDER MOTORS(ABOSSEY OKAI),98625,2025/1/17,AMOAH HILDA,SHOP CREDIT,58010
GH98834,KESSEWA BATTERY ENT (ACCRA BUBBIASHIE),13600,2026/1/10,PRINCE B,SHOP CASH PRINCE B,6150
GH98836,BOATENG MOTORS(ABOSSEY OKAI),14050,2025/8/12,BENY,PICK UP CASH,14050
GH98837,TAWIAH FAN CASE ENT(ABOSSEY OKAI),47850,2025/6/4,BENY,to shop cash,18472
GH98841,OSIBIO ENT (TAMALE),6320,2026/1/22,KUMBALA,"KUMBALA,SEND TO STATION PAY MOMO,两件长袖",120
GH98842,NEW GEN BATTERY(ABOSSEY OKAI),32200,2026/1/5,AMOAH HILDA,SEND TO SHOP WEEKLY CASH,26200
GH98843,MICHAEL O DEI(EASTERN REGION),490,2026/2/9,PRINCE B,PICK UP MOMO LATIFA,2339.18
GH98844,SHARMA LECTER VENTURES (MADINA),3460,2025/2/20,AKORFA,PICK UP CASH,4000
GH98845,ALHAJI LAMP ENT (TEMA),91200,2025/1/16,BENEDICTA,SHOP CREDIT,26700
GH98846,ERICOS BROTHER (CAPE COAST),1172,2026/2/5,KUMBALA,PICK UP MOMO LATIFA,106206.4
GH98847,K.GYASI ENT(ABOSSEY OKAI),57494,2025/12/10,AMOAH HILDA,SEND TO SHOP 20000 CASH+CREDIT,30346
GH98852,KSP ENT(ABOSSEY OKAI),1300,2026/2/2,LINDA,PICK UP MOMO STEPHNIE,27256
GH98854,ELEE ROYAL(TAMALE),1079183.5,2025/11/20,KUMBALA,PICK UP CHEQUES KUMBALA,406483.5
GH98856,BLUE CLOUD MOTORS(KOFORIDUA),2500,2026/2/4,PRINCE B,PICK UP MOMO LATIFA,15022
GH98861,KWAME BENITI(ABOSSEY OKAI),3395,2025/10/17,BOATEMAA ABIGAIL,"PICK UP CREDIT,EVER WEEK 15K,ABIGAIL",81391.45
GH98867,KORANTENG MOTORS（ABBOSSY OKAI）,15070,2025/1/20,PRINCE,SEND TO SHOP 6000 CASH+CHEQUE,4070
GH98873,POLE TO POLE (ABOSSEY OKAI),2020,2026/2/4,朱立刚,PICK UP MOMO SABINA,60849.74
GH98874,BOATEMAA ENT(TEMA),2918,2026/2/17,BENEDICTA,PICK UP CASH CUTE BENY,59453
GH98879,BENWUS MOTORS(ABOSSEY  OKAI),4034,2026/2/13,LINDA,"PICK UP CASH,LINDA",4014
GH98883,EMMASKOS ENTERPRISE (SUNYANI),62320,2025/12/1,KUMBALA,"KUMBALA,SEND TO STATION WEEKLY CASH",32319.5
GH98885,KILO(ABOSSEY OKAI),3300,2026/2/13,AMOAH HILDA,"PICK UP REPLACE RETURN,ABI",3300
GH98887,ERIC TENKORANG ENTERPRISE(ABOSSEY OKAI),7750,2026/1/5,PRINCE,SEND TO SHOP CHEQUE BENY,8600
GH98892,HOME BORGA ENTERPRISE (KUMASI),28000,2026/2/5,KOFI,"KOFI,SEND TO STATION ON CREDIT",58450
GH98900,MASTER TEE MOTORS(ATIKO JUNCTION),3880,2025/2/13,PRINCE,PICK UP CASH,2036
GH98901,FRANK ARMOHS AUTO (TEMA MANKWADE),37602,2026/2/4,BENEDICTA,SHOP CREDIT BENNY,40361.59
GH98904,DIGINUE AUTO(ABOSSEY OKAI),800,2026/2/16,商宇琛,PICK UP MOMO,759763
GH98911,KWAME KODUA VENTURES (KUMASI),64648,2025/8/28,KOFI,"SEND TO STATION ON CREDIT, 带上10件工衣",58488
GH98914,FRANPOKU ENT(ABOSSEY OKAI),10000,2026/1/13,LINDA,TO SHOP CREDIT,29300
GH98916,PH PATMOND ENTEPRISE (ABOSSEY OKAI),7696,2024/12/16,BENY,PICK UP CASH,7696
GH98919,ROYAL MAN IGNITION (ABOSSEY OKAI),950,2024/12/18,BENY,PICK UP CASH,16274
GH98921,OFOSU ENT  (ACCRA),3862,2025/11/8,PRINCE B,"BENEDICTA,PICK UP CASH",6
GH98924,YAA AND KWAKU(ABOSSEY OKAI),17600,2025/2/5,商宇琛,SEND TO SHOP CREDIT,7490
GH98930,GOOD FAITH (ABOSSEY OKAI),19780,2025/1/6,BENY,PICK UP CASH+CHEQUE,7780
GH98931,ANGELS OF PHILADELPHIA ENTERPRISE,32562.9,2026/1/27,KUMBALA,STATION WEEKLY 5000 KUMBALA,22562.8
GH98933,KWASI KOREA ENT (ABOSSEY OKAI),6325,2026/2/11,PRINCE,"PICK UP CASH,PRINCE",999.8
GH98935,BATTERY HOUSE(LABADI),46390,2025/7/2,KUMBALA,"KUMBALA,SEND TO SHOP WEEKLY 5000",34190
GH98945,BROTHERS RICH MOTORS (EAST LEGON),850,2026/2/17,AKORFA,"PICK UP MOMO,LATIFA",850
GH98953,NO WEAPONG (ASHALEY BOTWE),12080,2025/9/1,AKORFA,"SYLVIA,PICK UP ON CREDIT",12079.8
GH98955,NASH AUTO SPARES (TAMALE),4020,2025/12/23,KUMBALA,STATION MOMO KUMBALA,20
GH98957,JULIE ENTERPRISE (ABOSSEY OKAI),22318,2025/3/4,BENY,PICK UP 1OK PAID 5K TODAY AND BALANCE FRIDAY,7318
GH98960,HETTY'S AUTO LIGHT (KOMKOMPE),42000,2025/8/29,PRINCE B,SHOP CHEQUES ESTHER Y,17573.04
GH98962,FRONT PAGE AUTO PARTS (ABOSSEY OKAI),8430,2026/2/13,AMOAH HILDA,"PICK UP CASH,HILDA",8430
GH98975,AUGUST STAR (KUMASI),49470,2025/10/13,KOFI,SEND TO STATION CHEQUE,9470
GH98977,THE GREAT (ABOSSEY OKAI),7740,2026/1/17,LINDA,"PICK UP CASH,LINDA",666
GH98980,ASANTEWAA (ABOSSEY OKAI),2900,2026/1/20,AMOAH HILDA,PICK UP CHEQUE HILDA,4790
GH98982,NANA AKOMEAH AUTO PARTS(ABOSSEY OKAI),28720,2025/3/24,AMOAH HILDA,TO SHOP CHEQUE,2720
GH98985,M.HAKEEM VENTURES （TAMALE),26480,2025/9/18,KUMBALA,"KUMBALA,PICK UP PAID MOMO/CASH",552
GH98990,IT IS WELL BATTERY (MADINA),15100,2026/1/22,AKORFA,PICK UP WEEKLY 3000 SABINA,7100
GH98996,ACKAH MOTORS (ABOSSEY OKAI),4080,2026/2/9,PRINCE,SHOP CASH PRINCE,880
GH98998,CHRISLAW AUTO PARTS (KOKOMPE),3160,2026/2/2,AKORFA,"AKORFA,PICK UP ON CREDIT",4842
GH98999,MONI MOTORS (ABOSSEY OKAI),3460,2026/1/13,LINDA,"PICK UP CASH,LINDA",10
GH99001,PHILIP SPRINTER(ACHIMOTA),1000,2026/2/17,AKORFA,SHOP CASH AKORFA,3172
GH99006,JAMES SPRINTER (KUMASI),28250,2026/2/17,KOFI,SHOP WEEKLY 李,125697
GH99007,BIG CHANCE AUTO PARTS(ABOSSEY OKAI),5620,2025/11/29,AMOAH HILDA,TO SHOP CREDIT,85355.68
GH99009,NANS KOFI VENTURES(KANESHIE),20825,2025/8/6,LINDA,"PICK UP 10K THIS WEEK,BENY",16825
GH99011,YARO FUSEINI ENT (KUMASI),36970,2025/4/7,KOFI,TO STTAION CASH,21970
GH99013,CELENCO SPRINGTER (KUMASI),78130,2025/10/27,KOFI,"SEND TO STATION WEEKLY CASH,带10件工衣",44110
GH99015,PATRICIA SPRINTER (ABLEKUMA),3520,2026/1/29,AKORFA,"AKORFA,SEND TO SHOP ON CREDIT",26817.15
GH99016,BENZ CITY CHAIRMAN (ABOSSEY OKAI),6800,2026/1/17,AMOAH HILDA,SEND TO SHOP MOTOR RIDER CASH 下周五付两万老款,197740
